인보이스 번호,5515253163,
인보이스 날짜,2026-02-28,
마감일,2026-03-30,
결제 ID,4907-3667-0302,
결제 계정 ID,01DA80-8E7EBE-D7F984,
통화,KRW,
환율,"1,430.08",
총 청구 금액,"₩586,249,568",
결제 계정 이름,결제 계정 ID,프로젝트 이름,프로젝트 ID,프로젝트 계층 구조,서비스 설명,서비스 ID,SKU 설명,SKU ID,소비 모델 설명,크레딧 유형,비용 유형,사용량 시작일,사용량 종료일,사용량,사용량 단위,반올림되지 않은 비용(₩),비용(₩)
NGL Korea,018CEF-B195F0-03264D,NGLMobilityTest,nglmobilitytest,sphinfo.co.kr,Google Maps Platform - Mobility Billing,BBEE-7ECA-3FE8,Monthly Overage - Navigation Request,5EAA-F019-25B0,Default,,사용량,2026-02-28,2026-02-28,"3,188",count,9118.190056,9118
NGL Korea,018CEF-B195F0-03264D,NGLMobilityTest,nglmobilitytest,sphinfo.co.kr,Google Maps Platform - Mobility Billing,BBEE-7ECA-3FE8,Monthly Overage - Navigation Request,5EAA-F019-25B0,,RESELLER_MARGIN,사용량,2026-02-28,2026-02-28,,,-1094.182820,-1094
etc,01E541-1BB125-2312C6,gmp-test-project,gmp-test-project-277107,sphinfo.co.kr > sph-test,Vertex AI,C7E2-9256-1C43,Gemini 2.5 Flash GA Text Input (Long) - Predictions,087B-6A77-B4B6,Default,,사용량,2026-02-27,2026-02-27,"338,622",count,145.276964,145
etc,01E541-1BB125-2312C6,gmp-test-project,gmp-test-project-277107,sphinfo.co.kr > sph-test,Vertex AI,C7E2-9256-1C43,Gemini 2.5 Flash GA Text Output (Thinking On and Long) - Predictions,E1D8-7C01-FA9C,Default,,사용량,2026-02-27,2026-02-27,"1,697",count,6.067114,6
etc,01E541-1BB125-2312C6,gmp-test-project,gmp-test-project-277107,sphinfo.co.kr > sph-test,Dataplex,51C6-B3F5-9B38,Dataplex Premium Processing (milli DCU-hr) Iowa,6DAE-2158-F5F5,Default,,사용량,2026-02-27,2026-02-28,22.472,hour,2.860198,3
etc,01E541-1BB125-2312C6,gmp-test-project,gmp-test-project-277107,sphinfo.co.kr > sph-test,Vertex AI,C7E2-9256-1C43,Gemini 2.5 Flash GA Thinking Text Output (Long) - Predictions,2441-0955-7C3C,Default,,사용량,2026-02-27,2026-02-27,76,count,0.271715,0
etc,01E541-1BB125-2312C6,gmp-test-project,gmp-test-project-277107,sphinfo.co.kr > sph-test,Cloud Storage,95FF-2EF5-5EA1,Network Data Transfer GCP Replication within Northern America,AED0-3315-7B11,Default,,사용량,2026-02-27,2026-02-27,0.009,gibibyte,0.257142,0
etc,01E541-1BB125-2312C6,gmp-test-project,gmp-test-project-277107,sphinfo.co.kr > sph-test,Cloud Storage,95FF-2EF5-5EA1,Multi-Region Standard Class A Operations,9ADA-9AED-1B24,Default,,사용량,2026-02-27,2026-02-27,15,count,0.214511,0
etc,01E541-1BB125-2312C6,gmp-test-project,gmp-test-project-277107,sphinfo.co.kr > sph-test,Cloud Storage,95FF-2EF5-5EA1,Multi-Region Standard Class B Operations,8AE7-5BBD-8F38,Default,,사용량,2026-02-27,2026-02-27,6,count,0.003432,0
etc,01E541-1BB125-2312C6,gmp-test-project,gmp-test-project-277107,sphinfo.co.kr > sph-test,Cloud Storage,95FF-2EF5-5EA1,Network Data Transfer GCP Multi-region within Northern America,3C8A-99C5-F47B,Default,,사용량,2026-02-27,2026-02-27,0,gibibyte,0.000195,0
etc,01E541-1BB125-2312C6,gmp-test-project,gmp-test-project-277107,sphinfo.co.kr > sph-test,Artifact Registry,149C-F9EC-3994,Artifact Registry Network Internet Egress North America to North America,108E-9EAE-92D9,Default,,사용량,2026-02-27,2026-02-28,0,gibibyte,0.000176,0
nhn,01775C-1F3AE8-963929,naver - project,decoded-pivot-795,sphinfo.co.kr > naver,Geolocation API,0245-C3C9-3864,Geolocation,51AF-D64F-9ABD,Default,,사용량,2026-02-27,2026-02-27,1,count,0.000000,0
nhn,01775C-1F3AE8-963929,naver - project,decoded-pivot-795,sphinfo.co.kr > naver,Roads API,3679-7487-549C,Roads - Nearest Road,6108-C697-9EA5,Default,,사용량,2026-02-27,2026-02-27,1,count,0.000000,0
samsung-find,016B7F-A966CC-66E2B6,samsung-find,samsung-find-410705,sphinfo.co.kr > samsung-find,Maps Static API,CF79-2786-ADFC,Static Maps,3C2D-B525-2E5F,Default,,사용량,2026-02-27,2026-02-27,2,count,0.000000,0
Timing Golf,01F4E2-D20E02-A688E9,timing-golf-gmp-project,timing-golf-gmp-project,sphinfo.co.kr,Maps Static API,CF79-2786-ADFC,Static Maps,3C2D-B525-2E5F,Default,,사용량,2026-02-27,2026-02-27,"2,717",count,0.000000,0
etc,01E541-1BB125-2312C6,gmp-test-project,gmp-test-project-277107,sphinfo.co.kr > sph-test,Artifact Registry,149C-F9EC-3994,Artifact Registry Network Internet Egress North America to North America,108E-9EAE-92D9,,RESELLER_MARGIN,사용량,2026-02-27,2026-02-28,,,-0.000022,-0
etc,01E541-1BB125-2312C6,gmp-test-project,gmp-test-project-277107,sphinfo.co.kr > sph-test,Cloud Storage,95FF-2EF5-5EA1,Network Data Transfer GCP Multi-region within Northern America,3C8A-99C5-F47B,,RESELLER_MARGIN,사용량,2026-02-27,2026-02-27,,,-0.000023,-0
etc,01E541-1BB125-2312C6,gmp-test-project,gmp-test-project-277107,sphinfo.co.kr > sph-test,Cloud Storage,95FF-2EF5-5EA1,Multi-Region Standard Class B Operations,8AE7-5BBD-8F38,,RESELLER_MARGIN,사용량,2026-02-27,2026-02-27,,,-0.000412,-0
etc,01E541-1BB125-2312C6,gmp-test-project,gmp-test-project-277107,sphinfo.co.kr > sph-test,Cloud Storage,95FF-2EF5-5EA1,Multi-Region Standard Class A Operations,9ADA-9AED-1B24,,RESELLER_MARGIN,사용량,2026-02-27,2026-02-27,,,-0.025741,-0
etc,01E541-1BB125-2312C6,gmp-test-project,gmp-test-project-277107,sphinfo.co.kr > sph-test,Cloud Storage,95FF-2EF5-5EA1,Network Data Transfer GCP Replication within Northern America,AED0-3315-7B11,,RESELLER_MARGIN,사용량,2026-02-27,2026-02-27,,,-0.030857,-0
etc,01E541-1BB125-2312C6,gmp-test-project,gmp-test-project-277107,sphinfo.co.kr > sph-test,Vertex AI,C7E2-9256-1C43,Gemini 2.5 Flash GA Thinking Text Output (Long) - Predictions,2441-0955-7C3C,,RESELLER_MARGIN,사용량,2026-02-27,2026-02-27,,,-0.032606,-0
etc,01E541-1BB125-2312C6,gmp-test-project,gmp-test-project-277107,sphinfo.co.kr > sph-test,Dataplex,51C6-B3F5-9B38,Dataplex Premium Processing (milli DCU-hr) Iowa,6DAE-2158-F5F5,,RESELLER_MARGIN,사용량,2026-02-27,2026-02-28,,,-0.343224,-0
coupang,019ED0-3A1D89-455040,coupang-04 - project,coupang4-project,sphinfo.co.kr > coupang,Places API,213C-9623-1402,Autocomplete - Per Request,7384-2DE4-D388,,RESELLER_MARGIN,사용량,2026-02-27,2026-02-27,,,-0.485655,-0
etc,01E541-1BB125-2312C6,gmp-test-project,gmp-test-project-277107,sphinfo.co.kr > sph-test,Vertex AI,C7E2-9256-1C43,Gemini 2.5 Flash GA Text Output (Thinking On and Long) - Predictions,E1D8-7C01-FA9C,,RESELLER_MARGIN,사용량,2026-02-27,2026-02-27,,,-0.728054,-1
etc,01E541-1BB125-2312C6,gmp-test-project,gmp-test-project-277107,sphinfo.co.kr > sph-test,Vertex AI,C7E2-9256-1C43,Gemini 2.5 Flash GA Text Input (Long) - Predictions,087B-6A77-B4B6,,RESELLER_MARGIN,사용량,2026-02-27,2026-02-27,,,-17.433236,-17
samsung-sds-cello,015718-816F9E-1B3AED,samsung-sds-cello - project,map-for-work-int-154619931,sphinfo.co.kr > samsung-sds-cello,Directions API,B7D9-FDCB-15D8,Directions,28A8-3EB4-4595,,RESELLER_MARGIN,사용량,2026-02-27,2026-02-28,,,-423.875726,-424
etc,01E541-1BB125-2312C6,gmp-test-project,gmp-test-project-277107,sphinfo.co.kr > sph-test,Vertex AI,C7E2-9256-1C43, Gemini 2.5 Flash GA Input Text Caching,A1C1-77CC-6FAE,Default,,사용량,2026-02-26,2026-02-28,"283,303",count,12.154372,12
