인보이스 번호,5540519493,
인보이스 날짜,2026-03-31,
마감일,2026-04-30,
결제 ID,4907-3667-0302,
결제 계정 ID,01DA80-8E7EBE-D7F984,
통화,KRW,
환율,"1,427.87",
총 청구 금액,"₩609,987,414",
결제 계정 이름,결제 계정 ID,프로젝트 이름,프로젝트 ID,프로젝트 계층 구조,서비스 설명,서비스 ID,SKU 설명,SKU ID,소비 모델 설명,크레딧 유형,비용 유형,사용량 시작일,사용량 종료일,사용량,사용량 단위,반올림되지 않은 비용(₩),비용(₩)
NGL Korea,018CEF-B195F0-03264D,NGLMobilityTest,nglmobilitytest,sphinfo.co.kr,Google Maps Platform - Mobility Billing,BBEE-7ECA-3FE8,Monthly Overage - Navigation Request,5EAA-F019-25B0,Default,,사용량,2026-03-31,2026-03-31,"3,909",count,11163.087636,11163
etc,01E541-1BB125-2312C6,gmp-test-project,gmp-test-project-277107,sphinfo.co.kr > sph-test,Gemini API,AEFD-7695-64FA,Generate content output token count Gemini 2.5 Pro short output text,0F51-429B-C2DC,Default,,사용량,2026-03-31,2026-03-31,"17,214",count,245.793541,246
etc,01E541-1BB125-2312C6,gmp-test-project,gmp-test-project-277107,sphinfo.co.kr > sph-test,Gemini API,AEFD-7695-64FA,Generate content output token count gemini 2.5 flash short input text,911A-8880-A243,Default,,사용량,2026-03-31,2026-03-31,"5,997",count,21.407340,21
etc,01E541-1BB125-2312C6,gmp-test-project,gmp-test-project-277107,sphinfo.co.kr > sph-test,Gemini API,AEFD-7695-64FA,Generate content input token count Gemini 2.5 Pro short input text,2D1C-F790-3C09,Default,,사용량,2026-03-31,2026-03-31,"10,163",count,18.139302,18
etc,01E541-1BB125-2312C6,gmp-test-project,gmp-test-project-277107,sphinfo.co.kr > sph-test,Gemini API,AEFD-7695-64FA,Generate content input token count gemini 2.5 flash short input text,981A-C057-0BF9,Default,,사용량,2026-03-31,2026-03-31,"30,164",count,12.921081,13
etc,01E541-1BB125-2312C6,gmp-test-project,gmp-test-project-277107,sphinfo.co.kr > sph-test,Gemini API,AEFD-7695-64FA,Generate content input token count Gemini 2.5 Pro input image,1FD9-C71B-4D32,Default,,사용량,2026-03-31,2026-03-31,"1,032",count,1.841952,2
etc,01E541-1BB125-2312C6,gmp-test-project,gmp-test-project-277107,sphinfo.co.kr > sph-test,Gemini API,AEFD-7695-64FA,EmbedContent input token count for gemini-embedding-001,E211-E01C-0CB3,Default,,사용량,2026-03-31,2026-03-31,219,count,0.046905,0
hyundai-autolink,014334-757ACF-140FE7,autolink-NZ-PREMIUM-AND,kia-nz-premium-and,sphinfo.co.kr > hyundai-autolink,Geocoding API,0AC2-4B25-C429,Geocoding,BAC8-4E68-E261,,RESELLER_MARGIN,사용량,2026-03-31,2026-03-31,,,-0.856722,-1
Ground K,0147BD-0C99EC-A7BCCD,GroundK-gmp-project,seismic-mantis-309901,sphinfo.co.kr,Places API,213C-9623-1402,Autocomplete - Per Request,7384-2DE4-D388,,RESELLER_MARGIN,사용량,2026-03-31,2026-03-31,,,-64.977224,-65
kt-powertel,0170B5-EC75DC-A0DFDF,kt-powertel - project,map-for-work-int-34359667,sphinfo.co.kr,Maps API,1934-AA85-20F9,Dynamic Maps,FAF4-3B2D-51B2,,RESELLER_MARGIN,사용량,2026-03-31,2026-03-31,,,-269.867426,-270
NGL Korea,018CEF-B195F0-03264D,NGLMobilityTest,nglmobilitytest,sphinfo.co.kr,Google Maps Platform - Mobility Billing,BBEE-7ECA-3FE8,Monthly Overage - Navigation Request,5EAA-F019-25B0,,RESELLER_MARGIN,사용량,2026-03-31,2026-03-31,,,-1339.570533,-1340
han-pass,0138A2-EB53FC-5F93D8,han-pass-project,han-pass,sphinfo.co.kr > HanPass,Places API (New),0776-5E2E-55E3,Places API Place Details Pro,4ED6-464A-2AFC,,RESELLER_MARGIN,사용량,2026-03-31,2026-03-31,,,-4171.208077,-4171
hanwha-vision,01D1DD-A1FFE0-D81B3A,GMP-Oncloud-QA,gmp-oncloud-qa,sphinfo.co.kr > hanwha-vision,Places API,213C-9623-1402,Autocomplete - Per Request,7384-2DE4-D388,Default,,사용량,2026-03-30,2026-03-30,120,count,0.000000,0
coupang,019ED0-3A1D89-455040,coupang-04 - project,coupang4-project,sphinfo.co.kr > coupang,Places API,213C-9623-1402,Places - Nearby Search,6B23-8A17-D29D,Default,,사용량,2026-03-30,2026-03-30,2,count,0.000000,0
Samsung-Logitech,0157C0-84B18E-442AE8,Samsung-Logitech,samsung-logitech,sphinfo.co.kr,Route Optimization API,0D08-5400-B9BF,RouteOptimization - SingleVehicleRouting,2020-AA6E-7D49,,RESELLER_MARGIN,사용량,2026-03-30,2026-03-31,,,-669.956601,-670
Billing Account for sphinfo.co.kr,01DA80-8E7EBE-D7F984,SPH-Billing-Hub,sph-billing-hub,sphinfo.co.kr,Cloud Memorystore,A2B5-E0F1-B0F3,Shared Core Nano Node Seoul,9E8D-2D9A-A8A6,Default,,사용량,2026-03-29,2026-03-31,53.507,hour,3117.175329,3117
Billing Account for sphinfo.co.kr,01DA80-8E7EBE-D7F984,SPH-Billing-Hub,sph-billing-hub,sphinfo.co.kr,Networking,E505-1604-58F8,Networking Private Service Connect Partner Select End Point,6882-BFB0-B7E5,Default,,사용량,2026-03-29,2026-03-31,107.178,hour,1530.355297,1530
Billing Account for sphinfo.co.kr,01DA80-8E7EBE-D7F984,SPH-Billing-Hub,sph-billing-hub,sphinfo.co.kr,Cloud Run,152E-C115-5142,Services CPU Tier 2  (Request-based billing),085C-A237-027A,Default,,사용량,2026-03-29,2026-03-31,"1,251.659",second,60.050108,60
Billing Account for sphinfo.co.kr,01DA80-8E7EBE-D7F984,SPH-Billing-Hub,sph-billing-hub,sphinfo.co.kr,Cloud Run,152E-C115-5142,Cloud Run Network Internet Data Transfer Out AsiaPacific to AsiaPacific,9EA6-AE6D-E34E,Default,,사용량,2026-03-29,2026-03-31,0.315,gibibyte,53.983574,54
Billing Account for sphinfo.co.kr,01DA80-8E7EBE-D7F984,SPH-Billing-Hub,sph-billing-hub,sphinfo.co.kr,Cloud Memorystore for Redis,5AF5-2C11-D467,Redis Capacity Basic M1 Seoul,BA89-9DD7-2ED3,Default,,사용량,2026-03-29,2026-03-29,0.079,gibibyte hour,7.296019,7
Billing Account for sphinfo.co.kr,01DA80-8E7EBE-D7F984,SPH-Billing-Hub,sph-billing-hub,sphinfo.co.kr,Networking,E505-1604-58F8,Networking Private Service Connect Consumer Data Processing,C40A-084F-09B4,Default,,사용량,2026-03-29,2026-03-30,0.188,gibibyte,2.677647,3
Billing Account for sphinfo.co.kr,01DA80-8E7EBE-D7F984,SPH-Billing-Hub,sph-billing-hub,sphinfo.co.kr,Cloud Run,152E-C115-5142,Services Memory Tier 2 (Request-based billing),600C-3782-6708,Default,,사용량,2026-03-29,2026-03-31,212.05,gibibyte second,1.059705,1
Billing Account for sphinfo.co.kr,01DA80-8E7EBE-D7F984,SPH-Billing-Hub,sph-billing-hub,sphinfo.co.kr,Cloud Build,8B5D-EF7D-EB12,Cloud Build: Network Data Transfer Out Internet Premium within North America,D5F9-06F3-71E0,Default,,사용량,2026-03-29,2026-03-31,0.005,gibibyte,0.911579,1
Billing Account for sphinfo.co.kr,01DA80-8E7EBE-D7F984,SPH-Billing-Hub,sph-billing-hub,sphinfo.co.kr,Compute Engine,6F81-5844-456A,Network Inter Zone Data Transfer Out,DE9E-AFBC-A15A,Default,,사용량,2026-03-29,2026-03-31,0,gibibyte,0.005417,0
Billing Account for sphinfo.co.kr,01DA80-8E7EBE-D7F984,SPH-Billing-Hub,sph-billing-hub,sphinfo.co.kr,Artifact Registry,149C-F9EC-3994,Artifact Registry Network Internet Egress AsiaPacfic to AsiaPacfic,2CB3-644D-F192,Default,,사용량,2026-03-29,2026-03-30,0,gibibyte,0.003873,0
Billing Account for sphinfo.co.kr,01DA80-8E7EBE-D7F984,SPH-Billing-Hub,sph-billing-hub,sphinfo.co.kr,Artifact Registry,149C-F9EC-3994,Artifact Registry Storage,8502-299A-ABAF,Default,,사용량,2026-03-29,2026-03-31,0.023,gibibyte month,0.000000,0
Billing Account for sphinfo.co.kr,01DA80-8E7EBE-D7F984,SPH-Billing-Hub,sph-billing-hub,sphinfo.co.kr,Cloud Run,152E-C115-5142,Requests,2DA5-55D3-E679,Default,,사용량,2026-03-29,2026-03-31,943,count,0.000000,0
Billing Account for sphinfo.co.kr,01DA80-8E7EBE-D7F984,SPH-Billing-Hub,sph-billing-hub,sphinfo.co.kr,Firebase Hosting,2662-232A-AC11,Outgoing Bandwidth,5DF2-5F92-77F0,Default,,사용량,2026-03-29,2026-03-31,0.06,gibibyte,0.000000,0
Billing Account for sphinfo.co.kr,01DA80-8E7EBE-D7F984,SPH-Billing-Hub,sph-billing-hub,sphinfo.co.kr,Firebase Hosting,2662-232A-AC11,Storage,6B36-F770-533F,Default,,사용량,2026-03-29,2026-03-31,0.002,gibibyte month,0.000000,0
Billing Account for sphinfo.co.kr,01DA80-8E7EBE-D7F984,SPH-Billing-Hub,sph-billing-hub,sphinfo.co.kr,Compute Engine,6F81-5844-456A,Network Inter Zone Data Transfer In,D0CC-50DF-59D2,Default,,사용량,2026-03-29,2026-03-31,0.001,gibibyte,0.000000,0
Billing Account for sphinfo.co.kr,01DA80-8E7EBE-D7F984,SPH-Billing-Hub,sph-billing-hub,sphinfo.co.kr,Cloud Build,8B5D-EF7D-EB12,Build time e2-standard-2,A464-9020-6404,Default,,사용량,2026-03-29,2026-03-31,339.267,minute,0.000000,0
Billing Account for sphinfo.co.kr,01DA80-8E7EBE-D7F984,SPH-Billing-Hub,sph-billing-hub,sphinfo.co.kr,Cloud SQL,9662-B51E-5089,Network Inter Zone Data Transfer Out in Seoul,31D7-FEED-A644,Default,,사용량,2026-03-29,2026-03-31,0.001,gibibyte,0.000000,0
Billing Account for sphinfo.co.kr,01DA80-8E7EBE-D7F984,SPH-Billing-Hub,sph-billing-hub,sphinfo.co.kr,Networking,E505-1604-58F8,Networking Service Directory Integrated Resource,50F4-D7E5-3682,Default,,사용량,2026-03-29,2026-03-31,0.36,month,0.000000,0
Billing Account for sphinfo.co.kr,01DA80-8E7EBE-D7F984,SPH-Billing-Hub,sph-billing-hub,sphinfo.co.kr,Secret Manager,EE82-7A5E-871C,Secret version replica storage,7756-ADEF-84F4,Default,,사용량,2026-03-29,2026-03-31,0.141,month,0.000000,0
Billing Account for sphinfo.co.kr,01DA80-8E7EBE-D7F984,SPH-Billing-Hub,sph-billing-hub,sphinfo.co.kr,Secret Manager,EE82-7A5E-871C,Secret access operations,EBA7-264F-2D2C,Default,,사용량,2026-03-29,2026-03-31,68,count,0.000000,0
Billing Account for sphinfo.co.kr,01DA80-8E7EBE-D7F984,SPH-Billing-Hub,sph-billing-hub,sphinfo.co.kr,Artifact Registry,149C-F9EC-3994,Artifact Registry Network Internet Egress AsiaPacfic to AsiaPacfic,2CB3-644D-F192,,RESELLER_MARGIN,사용량,2026-03-29,2026-03-30,,,-0.000466,-0
Billing Account for sphinfo.co.kr,01DA80-8E7EBE-D7F984,SPH-Billing-Hub,sph-billing-hub,sphinfo.co.kr,Compute Engine,6F81-5844-456A,Network Inter Zone Data Transfer Out,DE9E-AFBC-A15A,,RESELLER_MARGIN,사용량,2026-03-29,2026-03-31,,,-0.000652,-0
Billing Account for sphinfo.co.kr,01DA80-8E7EBE-D7F984,SPH-Billing-Hub,sph-billing-hub,sphinfo.co.kr,Cloud Build,8B5D-EF7D-EB12,Cloud Build: Network Data Transfer Out Internet Premium within North America,D5F9-06F3-71E0,,RESELLER_MARGIN,사용량,2026-03-29,2026-03-31,,,-0.109388,-0
Billing Account for sphinfo.co.kr,01DA80-8E7EBE-D7F984,SPH-Billing-Hub,sph-billing-hub,sphinfo.co.kr,Networking,E505-1604-58F8,Networking Private Service Connect Consumer Data Processing,C40A-084F-09B4,,RESELLER_MARGIN,사용량,2026-03-29,2026-03-30,,,-0.321318,-0
Billing Account for sphinfo.co.kr,01DA80-8E7EBE-D7F984,SPH-Billing-Hub,sph-billing-hub,sphinfo.co.kr,Cloud Memorystore for Redis,5AF5-2C11-D467,Redis Capacity Basic M1 Seoul,BA89-9DD7-2ED3,,RESELLER_MARGIN,사용량,2026-03-29,2026-03-29,,,-0.875523,-1
Billing Account for sphinfo.co.kr,01DA80-8E7EBE-D7F984,SPH-Billing-Hub,sph-billing-hub,sphinfo.co.kr,Cloud Run,152E-C115-5142,Services Memory Tier 2 (Request-based billing),600C-3782-6708,,SPENDING_BASED_DISCOUNT,사용량,2026-03-29,2026-03-31,,,-1.059705,-1
Billing Account for sphinfo.co.kr,01DA80-8E7EBE-D7F984,SPH-Billing-Hub,sph-billing-hub,sphinfo.co.kr,Cloud Run,152E-C115-5142,Cloud Run Network Internet Data Transfer Out AsiaPacific to AsiaPacific,9EA6-AE6D-E34E,,RESELLER_MARGIN,사용량,2026-03-29,2026-03-31,,,-6.478031,-6
Billing Account for sphinfo.co.kr,01DA80-8E7EBE-D7F984,SPH-Billing-Hub,sph-billing-hub,sphinfo.co.kr,Cloud Run,152E-C115-5142,Services CPU Tier 2  (Request-based billing),085C-A237-027A,,SPENDING_BASED_DISCOUNT,사용량,2026-03-29,2026-03-31,,,-60.050108,-60
han-pass,0138A2-EB53FC-5F93D8,han-pass-project,han-pass,sphinfo.co.kr > HanPass,Places API (New),0776-5E2E-55E3,Places API Place Details Enterprise,2D9A-3DE0-3766,,RESELLER_MARGIN,사용량,2026-03-29,2026-03-31,,,-325.554361,-326
Billing Account for sphinfo.co.kr,01DA80-8E7EBE-D7F984,SPH-Billing-Hub,sph-billing-hub,sphinfo.co.kr,Cloud Memorystore,A2B5-E0F1-B0F3,Shared Core Nano Node Seoul,9E8D-2D9A-A8A6,,RESELLER_MARGIN,사용량,2026-03-29,2026-03-31,,,-374.061086,-374
Billing Account for sphinfo.co.kr,01DA80-8E7EBE-D7F984,SPH-Billing-Hub,sph-billing-hub,sphinfo.co.kr,Networking,E505-1604-58F8,Networking Private Service Connect Partner Select End Point,6882-BFB0-B7E5,,SPENDING_BASED_DISCOUNT,사용량,2026-03-29,2026-03-31,,,-1530.355297,-1530
11st,012C1F-16F3D7-6B0F99,11st - project,maps-ext-33980215,sphinfo.co.kr,Maps API,1934-AA85-20F9,Dynamic Maps,FAF4-3B2D-51B2,,RESELLER_MARGIN,사용량,2026-03-28,2026-03-31,,,-1739.145746,-1739
hyundai-autolink,014334-757ACF-140FE7,autolink-SG-BASIC-WEB,kia-sg-basic-web,sphinfo.co.kr > hyundai-autolink,Geocoding API,0AC2-4B25-C429,Geocoding,BAC8-4E68-E261,Default,,사용량,2026-03-27,2026-03-30,3,count,21.418050,21
atomy,01F469-BE29AC-8956DD,atomy-mobile,atommy-mobile,sphinfo.co.kr,Places API,213C-9623-1402,Places - Nearby Search,6B23-8A17-D29D,Default,,사용량,2026-03-27,2026-03-27,1,count,0.000000,0
hyundai-autolink,014334-757ACF-140FE7,autolink-IN-BASIC-AND,kia-in-basic-and,sphinfo.co.kr > hyundai-autolink,Places API,213C-9623-1402,Places - Nearby Search,6B23-8A17-D29D,Default,,사용량,2026-03-27,2026-03-27,1,count,0.000000,0
hyundai-autolink,014334-757ACF-140FE7,autolink-IN-BASIC-AND,kia-in-basic-and,sphinfo.co.kr > hyundai-autolink,Places API,213C-9623-1402,Basic Data,75D4-C522-326B,Default,,사용량,2026-03-27,2026-03-27,1,count,0.000000,0
hyundai-autolink,014334-757ACF-140FE7,autolink-IN-BASIC-AND,kia-in-basic-and,sphinfo.co.kr > hyundai-autolink,Places API,213C-9623-1402,Atmosphere Data,D63D-5CC5-302A,Default,,사용량,2026-03-27,2026-03-27,1,count,0.000000,0
